category,count
love,42415
life,40515
inspirational,29087
philosophy,15077
humor,14096
god,13908
truth,12352
wisdom,11125
happiness,10582
people,10305
hope,9903
time,9743
faith,9305
inspirational-quotes,9279
quotes,9191
romance,9129
success,8835
death,8519
writing,8480
inspiration,8197
poetry,7317
religion,7309
work,6932
education,6836
knowledge,6717
you,6424
world,6274
motivational,6233
fear,5800
relationships,5798
change,5724
spirituality,5681
women,5450
funny,5416
life-lessons,5408
science,5392
motivation,5378
books,5218
freedom,5201
friendship,5138
purpose,5107
art,5087
me,4962
good,4814
peace,4805
dreams,4760
money,4661
spiritual,4615
leadership,4608
beauty,4602
life-quotes,4585
politics,4576
war,4564
family,4563
nature,4494
humanity,4375
music,4371
christianity,4360
debasish-mridha,4343
heart,4330
soul,4327
love-quotes,4316
history,4246
pain,4225
reading,4193
self-help,4117
power,4104
marriage,4093
children,4053
courage,3923
humour,3854
man,3815
christian,3728
mind,3689
motivational-quotes,3645
future,3643
intelligence,3598
great,3557
passion,3547
fantasy,3476
joy,3440
men,3437
reality,3423
prayer,3315
friends,3296
society,3273
self,3211
wisdom-quotes,3073
living,3039
words,3029
sex,3010
creativity,2996
relationship,2988
strength,2940
forgiveness,2939
believe,2932
think,2909
light,2891
belief,2874
destiny,2831
business,2829
fiction,2803
feminism,2777
success-quotes,2754
trust,2731
learning,2728
depression,2672
day,2661
psychology,2632
past,2590
goals,2579
quote,2562
positive-thinking,2533
grief,2491
life-and-living,2466
loss,2461
imagination,2453
literature,2444
happy,2439
experience,2426
spiritual-quotes,2392
dream,2364
travel,2359
wealth,2356
confidence,2349
growth,2336
compassion,2335
inspiring,2331
magic,2318
memory,2308
sadness,2303
kindness,2292
positive,2285
beautiful,2271
humorous,2265
thoughts,2252
paranormal-romance,2242
home,2234
government,2179
human,2176
jesus,2173
life-philosophy,2152
action,2138
culture,2135
loneliness,2129
inspirational-life,2120
know,2101
debasish-mridha-m-d,2098
food-for-thought,2088
calling,2085
suffering,2080
wise-words,2062
advice,2052
school,2050
desire,2046
thinking,2045
self-improvement,2035
want,2027
character,2024
writers,2012
mystery,2010
healing,2006
failure,1991
evil,1984
poverty,1983
language,1982
self-esteem,1976
adventure,1975
sad,1961
self-love,1942
darkness,1942
hate,1926
food,1924
grace,1923
young-adult,1920
understanding,1913
israelmore-ayivor,1906
america,1894
billy-graham,1871
health,1863
woman,1858
fate,1849
consciousness,1839
anger,1830
contemporary-romance,1808
acceptance,1805
live,1795
ignorance,1791
horror,1786
thought,1781
best,1766
meditation,1756
science-fiction,1740
greatness,1737
justice,1726
value,1722
honesty,1718
self-awareness,1715
universe,1712
morality,1709
feelings,1688
journey,1668
memories,1668
opportunity,1666
silence,1665
mother,1664
bible,1656
debasish-mridha-md,1650
i am,1636
book,1628
job,1626
parenting,1623
poem,1619
identity,1610
edmond-mbiaka,1592
heartbreak,1583
choices,1578
lies,1564
christian-life,1545
gratitude,1515
lailah-gifty-akita-affirmations,1515
youth,1513
hurt,1512
emotions,1508
focus,1507
technology,1506
law,1506
lovers,1503
humility,1503
age,1500
choice,1498
perspective,1488
sin,1476
relationship-quotes,1472
story,1461
mistakes,1455
evolution,1448
inspirational-attitude,1432
parents,1431
awareness,1421
human-nature,1420
heaven,1420
gift,1416
optimism,1413
respect,1412
atheism,1412
liberty,1400
myself,1399
self-realization,1397
pride,1393
alone,1389
attitude,1388
earth,1387
father,1383
spirit,1380
stories,1378
romantic,1370
encouragement,1369
mindfulness,1356
paranormal,1335
childhood,1332
reason,1331
artist,1326
adversity,1319
communication,1319
determination,1316
poetry-quotes,1308
meaning,1305
service,1296
personal-development,1293
vision,1289
violence,1280
control,1273
writer,1266
dark,1263
ya,1260
stars,1260
author,1259
self-motivation,1255
anxiety,1239
philosophy-of-life,1238
responsibility,1237
sleep,1231
ideas,1226
yourself,1222
existence,1214
values,1210
community,1206
night,1205
patience,1197
vampires,1196
inspire,1191
church,1191
personal-growth,1187
democracy,1186
crime,1186
help,1183
perseverance,1182
smile,1182
greatness-quotes,1170
worship,1157
strong,1155
solitude,1152
suicide,1145
path,1136
achievement,1132
progress,1125
right,1121
problems,1121
today,1117
will,1116
richelle,1113
love-story,1112
survival,1111
richelle-goodrich,1100
sacrifice,1100
decisions,1099
perception,1099
creation,1088
child,1087
kiss,1082
buddhism,1081
ego,1081
friend,1078
present,1075
employment,1074
enlightenment,1069
capitalism,1069
lost,1063
comedy,1062
racism,1062
teaching,1060
self-confidence,1052
bravery,1046
animals,1043
sorrow,1041
true,1041
positivity,1036
hell,1032
true-love,1032
ethics,1030
regret,1026
storytelling,1025
body,1025
inspirational-quote,1022
personality,1016
unity,1014
never,1009
dating,1006
energy,1004
theology,1004
happiness-quotes,1003
fun,999
vampire,993
thriller,991
faith-quotes,991
memoir,987
opportunities,986
fight,986
eyes,986
discipleship,984
free,983
growing-up,974
empowerment,972
christ,969
goal,968
revolution,968
mind-power,963
life-lessons-quotes,958
life-quotes-and-sayings,953
learn,947
jesus-christ,946
wisdom-of-lailah-gifty-akita,943
wise,943
despair,942
economics,941
christian-living,940
productivity,937
mridha,935
ambition,935
together,934
leader,931
dreams-quotes,931
political,927
equality,925
humans,925
integrity,921
blessing,921
challenges,920
abuse,919
innovation,916
leaders,916
emotion,911
murder,909
water,909
wise-quotes,907
giving,903
end,903
jobless,903
communication-skills,902
debasish,901
sexuality,900
poems,900
words-of-wisdom,895
doubt,890
friendship-quotes,886
secrets,883
sarcasm,882
law-of-attraction,881
struggle,880
perfection,876
mental-illness,875
mind-body-spirit,873
motherhood,867
expectations,865
curiosity,865
quotes-to-live-by,864
brain,858
zen,857
life-lesson-quotes,856
fire,855
love-quote,853
dying,850
goal-setting,850
write,849
better,848
aging,846
waste,846
writing-life,839
revenge,838
moment,838
positive-thoughts,834
novel,834
entrepreneurship,834
care,832
danger,831
satire,829
goodness,828
girl,827
erotica,825
empathy,822
worry,818
islam,815
self-worth,815
mankind,814
irony,814
dance,814
see,811
life-changing,811
remember,809
space,807
hatred,800
wonder,799
erotic-romance,798
fashion,796
nothing,795
college,794
love-quotes-and-sayings,794
deep,791
suspense,788
angels,787
christmas,784
philosophical,783
humorous-quotes,781
environment,781
talent,781
romantic-suspense,781
lust,780
way,780
kindlehighlight,779
finance,778
sweet,778
actions,778
historical-romance,776
transformation,775
writing-process,775
madness,772
person,772
pleasure,772
cats,771
spiritual-growth,770
life-quote,768
media,767
race,766
american,765
moon,764
tragedy,761
guilt,760
military,759
greed,757
honor,755
quote-of-the-day,754
internet,754
criticism,754
genius,753
problem,753
stephen-richards,752
influence,751
individuality,751
mission,749
reflection,748
sexy,747
death-and-dying,746
product,745
luck,744
writers-on-writing,743
brainy-quotes,741
religious,740
like,738
virtue,737
conscience,737
addiction,735
letting-go,735
mindset,735
excellence,734
need,734
crazy,733
romance-novels,733
comfort,732
always,731
sun,730
people-quotes,730
conversion,729
simplicity,726
kingdom,725
life-quotations,723
laughter,723
potential,723
salvation,721
being,720
real,720
principles,719
uplifting,717
drama,715
kids,714
slavery,714
historical-fiction,714
turkish-literature,712
girls,710
dead,710
play,708
attitude-quotes,707
betrayal,706
writing-advice,705
risk,705
conflict,703
wise-sayings,703
destruction,703
commitment,703
love-hurts,701
young-adult-fiction,699
mercy,699
divorce,697
logic,696
wife,696
dogs,696
gay,696
loyalty,695
ocean,695
tears,693
richelle-e-goodrich,691
produce,690
long,689
intuition,689
rain,685
devil,685
life-experience,684
lie,683
hard-work,679
country,678
insanity,678
beliefs,677
sea,676
jealousy,676
successful,675
hero,675
drugs,672
mental-health,671
joblessness,671
gender,670
turkish-writers,670
loving,667
dragons,666
dreaming,665
growth-quotes,664
challenge,661
matshona-dhliwayo-quotes,661
gratitude-quotes,661
quotes-by-susan-c-young,660
read,660
supernatural,660
authors,658
cute,657
convert,657
sky,657
rich,657
medicine,651
meaning-of-life,650
potential-quotes,650
new-thought,650
life-quotes-inspirational-quotes,647
turkish-quotes,645
new-adult,644
strategy,644
witches,643
patriotism,640
thinking-quotes,640
wishes,639
mehmet-murat-ildan-quotes,638
fearless,637
appreciation,636
new-age,635
urban-fantasy,633
illusion,632
flowers,630
spiritual-wisdom,629
ghosts,629
civilization,629
stupidity,627
blessings,627
victory,626
feeling,625
city,625
poet,625
self-discovery,625
marketing,624
recovery,623
management,623
questions,622
influence-quotes,622
existentialism,621
gods,621
business-quotes,621
listening,620
sports,618
materialism,617
chaos,617
miracles,616
fame,616
harmony,615
social-media,613
relationships-quotes,613
shame,613
balance,613
moments,612
lonely,610
demons,608
stress,608
independence,607
nostalgia,605
rules,604
motivational-inspirational,604
eternity,604
sufism,603
ildan-wise-sayings,601
die,600
security,600
winter,598
photography,597
turkish-authors,596
weakness,596
truth-of-life,595
library,595
mehmet-murat-ildan-quotations,595
never-give-up,595
wealth-creation,594
turkish-playwrights,594
corruption,594
new,593
turkish-wisdom-words,591
career,590
positive-attitude,589
battle,589
prejudice,588
turkish-quotations,587
moving-on,586
discipline,586
judgement,586
desires,586
bad,584
inner-strength,584
ildan-wisdom,584
